probeName	baseMean	pvalue	padj	FC	signFCPosPadjFilter	signFCNegPadjFilter	MedianFilterOut	myfileName	entrezID	geneSymbol
PLIN2_21957	15854.1742149923	1.66937336071306e-82	3.71936384766869e-79	5.27825494728999	1	0	0	PFOS20vsDMSO.txt	123	PLIN2
CYP51A1_1742	5694.13980187716	7.7373078938348e-69	8.61936099373196e-66	-4.46184903594757	0	1	0	PFOS20vsDMSO.txt	1595	CYP51A1
MSMO1_4315	6840.63141031365	2.93081287827306e-68	2.17661703093079e-65	-8.69363774268034	0	1	0	PFOS20vsDMSO.txt	6307	MSMO1
CYP7A1_1745	482.352474488467	4.84212096015346e-63	2.69706137480548e-60	-25.3915746752224	0	1	0	PFOS20vsDMSO.txt	1581	CYP7A1
CYP3A5_27090	20663.6555019688	1.59913496447781e-56	7.12574540171314e-54	7.36439532270544	1	0	0	PFOS20vsDMSO.txt	1577	CYP3A5
IDI1_12170	5770.63313518439	9.00388706707548e-53	3.34344339757403e-50	-8.98549868563711	0	1	0	PFOS20vsDMSO.txt	3422	IDI1
HMGCR_3029	837.655432935671	6.59180821214361e-51	2.09807838523656e-48	-5.64239619054602	0	1	0	PFOS20vsDMSO.txt	3156	HMGCR
FMO3_14602	3586.46490735475	1.94640382199664e-50	5.42073464426064e-48	-2.57112610670685	0	1	0	PFOS20vsDMSO.txt	2328	FMO3
DPYS_16757	4254.56227712877	6.45143963436767e-49	1.59708972281902e-46	-3.05009516831614	0	1	0	PFOS20vsDMSO.txt	1807	DPYS
FMO5_11213	738.144588028869	8.94154589675664e-48	1.99217642579738e-45	-4.01962013187837	0	1	0	PFOS20vsDMSO.txt	2330	FMO5
ACAT2_56	1432.3404777063	3.6505555220112e-47	7.39403427549178e-45	-4.82233442594873	0	1	0	PFOS20vsDMSO.txt	39	ACAT2
APOA1_26063	88322.4516769815	1.2544856533774e-46	2.32916169643736e-44	-2.94166501227152	0	1	0	PFOS20vsDMSO.txt	335	APOA1
TTR_7397	326085.236154867	1.71262404459518e-42	2.9351741318139e-40	-3.47996055123389	0	1	0	PFOS20vsDMSO.txt	7276	TTR
CYP2E1_1722	9612.18730443401	2.08852704626894e-41	3.32374161363371e-39	-3.95548204957756	0	1	0	PFOS20vsDMSO.txt	1571	CYP2E1
EBP_2015	2569.35581482817	3.59494102661972e-39	5.33968573820582e-37	-3.13231808220214	0	1	0	PFOS20vsDMSO.txt	10682	EBP
TNFSF10_17292	272.902947725917	9.46722889653115e-36	1.31831162384196e-33	-7.13745487646465	0	1	0	PFOS20vsDMSO.txt	8743	TNFSF10
SLC27A2_6426	568.756708259182	3.1291029193593e-31	4.10096547313677e-29	2.54062136137322	1	0	0	PFOS20vsDMSO.txt	11001	SLC27A2
FN1_13666	13772.2723023904	1.49797998957325e-30	1.85416634264955e-28	-3.30347516859575	0	1	0	PFOS20vsDMSO.txt	2335	FN1
UGT2B7_21389	16084.716450693	5.415075527104e-30	6.34988856546721e-28	-2.30561038389802	0	1	0	PFOS20vsDMSO.txt	7364	UGT2B7
INSIG1_3385	3714.52039361847	6.76194212875719e-30	7.53280353143551e-28	-5.30092542002579	0	1	0	PFOS20vsDMSO.txt	3638	INSIG1
CYP4F2_17490	1535.50583871133	1.74268351414876e-29	1.84890422358259e-27	-3.21952624905323	0	1	0	PFOS20vsDMSO.txt	8529	CYP4F2
HIST1H2BD_18171	1074.80895144887	3.5309845917265e-28	3.44281565837233e-26	-3.00339727711284	0	1	0	PFOS20vsDMSO.txt	3017	HIST1H2BD
SLC22A1_19293	691.877083650811	3.55407361501632e-28	3.44281565837233e-26	-4.38865869802777	0	1	0	PFOS20vsDMSO.txt	6580	SLC22A1
A2M_12371	12233.301621922	6.07936067838587e-28	5.64367316310155e-26	-2.95850847626957	0	1	0	PFOS20vsDMSO.txt	2	A2M
GGH_2639	1616.85592048188	1.70101297153361e-27	1.51594276023076e-25	-2.511328527761	0	1	0	PFOS20vsDMSO.txt	8836	GGH
EEF2_2042	8411.88578807059	7.24646750231549e-25	6.20966522890727e-23	1.85501435349886	1	0	0	PFOS20vsDMSO.txt	1938	EEF2
SAT1_6103	11564.8212563167	1.64382728331706e-24	1.35646192119644e-22	-1.88202570708643	0	1	0	PFOS20vsDMSO.txt	6303	SAT1
FN1_2459	18478.4005843994	8.95805360302608e-24	7.12805122412218e-22	-3.78420099481748	0	1	0	PFOS20vsDMSO.txt	2335	FN1
SLC1A2_24387	135.338942470207	8.74405449793403e-23	6.71784600737828e-21	-8.28108080253514	0	1	0	PFOS20vsDMSO.txt	6506	SLC1A2
HADHA_2875	980.803601521185	1.48336627156646e-22	1.10164668435002e-20	2.4312581117386	1	0	0	PFOS20vsDMSO.txt	3030	HADHA
HPR_3094	2370.92619778217	3.07090442332021e-22	2.20708872747014e-20	-2.91546871198607	0	1	0	PFOS20vsDMSO.txt	3250	HPR
CYP3A4_20661	13336.0974077724	3.51507835851169e-22	2.44737330711377e-20	10.8700652737816	1	0	0	PFOS20vsDMSO.txt	1576	CYP3A4
ADH1A_126	18839.9345109421	9.59090694417667e-21	6.47531535503806e-19	-1.93361203399726	0	1	0	PFOS20vsDMSO.txt	124	ADH1A
POR_23019	689.311966085703	4.28794006591104e-20	2.80986190201464e-18	2.55197099936531	1	0	0	PFOS20vsDMSO.txt	5447	POR
UGT2B7_7548	1227.76877824009	3.72000044433871e-19	2.36804599713904e-17	-4.57243666942613	0	1	0	PFOS20vsDMSO.txt	7364	UGT2B7
EIF4EBP1_2107	818.313642500779	4.72251916531852e-19	2.92271463898046e-17	1.91794158194908	1	0	0	PFOS20vsDMSO.txt	1978	EIF4EBP1
SLC10A1_19648	452.325085670133	7.71277778108265e-19	4.64434294493301e-17	-3.32927923959317	0	1	0	PFOS20vsDMSO.txt	6554	SLC10A1
CYP3A4_28338	5428.71000552675	1.72657144079678e-18	1.01231609739348e-16	7.17947953011726	1	0	0	PFOS20vsDMSO.txt	1576	CYP3A4
ALAS1_28273	1034.59096686468	5.55595214780635e-18	3.17401573982373e-16	1.85099338914452	1	0	0	PFOS20vsDMSO.txt	211	ALAS1
FKBP5_19156	715.574654415848	6.42933034597328e-18	3.58113700270712e-16	-2.48293834125894	0	1	0	PFOS20vsDMSO.txt	2289	FKBP5
ALB_217	109125.867116005	9.07209770481834e-18	4.92991065520372e-16	-1.85117681620367	0	1	0	PFOS20vsDMSO.txt	213	ALB
FN1_27231	31647.7485479135	2.16332663743306e-17	1.14759327338116e-15	-4.20856482298271	0	1	0	PFOS20vsDMSO.txt	2335	FN1
HP_3085	3605.02803583915	7.26064886624493e-17	3.76202922651016e-15	-3.23170660044388	0	1	0	PFOS20vsDMSO.txt	3240	HP
SQSTM1_6740	1553.57045369339	1.41287422861894e-16	7.15428132127955e-15	2.46654632284132	1	0	0	PFOS20vsDMSO.txt	8878	SQSTM1
GSTA2_2817	1619.98256526527	1.59294642867838e-16	7.88685476243429e-15	-9.45464780929218	0	1	0	PFOS20vsDMSO.txt	2939	GSTA2
GDF15_18329	694.445453210874	5.6687767558349e-16	2.7456596982609e-14	3.80235734216434	1	0	0	PFOS20vsDMSO.txt	9518	GDF15
NR1I3_16711	477.150711628368	1.03843062767612e-15	4.9226030605583e-14	-3.37247015647954	0	1	0	PFOS20vsDMSO.txt	9970	NR1I3
DDC_18548	654.666855547317	1.56335399827002e-15	7.25656814197e-14	-1.91085989302469	0	1	0	PFOS20vsDMSO.txt	1644	DDC
HSPD1_3152	2508.2814622353	2.05631927211083e-15	9.34995783318965e-14	1.94270399017159	1	0	0	PFOS20vsDMSO.txt	3329	HSPD1
ARRDC4_12510	2249.60492775294	3.20153569675807e-15	1.4266043064754e-13	-2.26457376658319	0	1	0	PFOS20vsDMSO.txt	91947	ARRDC4
LSS_14888	372.125297776558	1.57923901526617e-14	6.89910691375105e-13	-3.55357306429927	0	1	0	PFOS20vsDMSO.txt	4047	LSS
FDFT1_2382	336.513872695583	2.818419420712e-14	1.20178730733182e-12	-2.90560766806018	0	1	0	PFOS20vsDMSO.txt	2222	FDFT1
SAT1_17598	5420.93466100601	2.85882977058287e-14	1.20178730733182e-12	-1.86945282014797	0	1	0	PFOS20vsDMSO.txt	6303	SAT1
TIMP1_13877	3238.57965776956	3.9451410381429e-14	1.62773596907081e-12	-2.45320924498413	0	1	0	PFOS20vsDMSO.txt	7076	TIMP1
MASP2_27484	1278.10770352849	3.40691072455405e-13	1.38010856260117e-11	-1.60590087927119	0	1	0	PFOS20vsDMSO.txt	10747	MASP2
CYP2A6_28673	5005.36413216644	4.81177357487261e-13	1.91439848657431e-11	-2.58529462538257	0	1	0	PFOS20vsDMSO.txt	1548	CYP2A6
MBNL1_4056	1444.87237395381	1.26786531209392e-12	4.95579634271099e-11	-1.51225265114409	0	1	0	PFOS20vsDMSO.txt	4154	MBNL1
IFITM1_3226	235.281071537257	1.40761601665767e-12	5.40718704329878e-11	-3.25658015776721	0	1	0	PFOS20vsDMSO.txt	8519	IFITM1
EPHX2_18456	954.153815451741	2.37298704801879e-12	8.96104261523028e-11	-1.91408351550657	0	1	0	PFOS20vsDMSO.txt	2053	EPHX2
ETFA_2244	5593.76792732049	6.95296270042538e-12	2.58186681609129e-10	1.53165638801091	1	0	0	PFOS20vsDMSO.txt	2108	ETFA
CCL15_25622	1109.03302586678	1.08551791602738e-11	3.96480969985081e-10	2.31646482807184	1	0	0	PFOS20vsDMSO.txt	6359	CCL15
PROS1_5451	3159.01879967671	1.24155786146929e-11	4.4615982505703e-10	-1.53212428928198	0	1	0	PFOS20vsDMSO.txt	5627	PROS1
BCL2L1_21647	2563.81359706525	1.4170930630435e-11	5.01156086422367e-10	1.71262035431448	1	0	0	PFOS20vsDMSO.txt	598	BCL2L1
DHCR7_17139	168.177001057251	1.48760658009883e-11	5.17873040696906e-10	-3.28809380568963	0	1	0	PFOS20vsDMSO.txt	1717	DHCR7
AGXT2_28617	119.728187846657	1.90598730202323e-11	6.53313801370425e-10	-5.22336725195122	0	1	0	PFOS20vsDMSO.txt	64902	AGXT2
CYP39A1_17915	196.222877760594	2.15745137515928e-11	7.28303282402255e-10	-2.64121670228394	0	1	0	PFOS20vsDMSO.txt	51302	CYP39A1
CIDEC_20342	215.895574580393	2.51852886925057e-11	8.37504823983623e-10	3.15172545639471	1	0	0	PFOS20vsDMSO.txt	63924	CIDEC
ABCA6_28368	738.83764087071	2.59365448565733e-11	8.49803263830078e-10	-2.29024290647549	0	1	0	PFOS20vsDMSO.txt	23460	ABCA6
RPL4_5948	8685.85263025167	3.19590420394387e-11	1.03195283570825e-09	1.44273044371645	0	0	0	PFOS20vsDMSO.txt	6124	RPL4
