probeName	baseMean	pvalue	padj	FC	signFCPosPadjFilter	signFCNegPadjFilter	MedianFilterOut	myfileName	entrezID	geneSymbol
HP_3085	3099.80676901724	1.0931684767701e-136	2.36670975220726e-133	-18.7554377544179	0	1	0	PFOS20vsDMSO.txt	3240	HP
HPR_3094	2338.12073331864	2.62879272360188e-115	2.84566812329904e-112	-10.0565061789521	0	1	0	PFOS20vsDMSO.txt	3250	HPR
TTR_7397	125783.867396297	7.09416765906867e-104	5.11962432729456e-101	-7.29435603273549	0	1	0	PFOS20vsDMSO.txt	7276	TTR
INSIG1_3385	2407.79134343337	3.03682164014308e-102	1.64367971272744e-99	-14.6435345609349	0	1	0	PFOS20vsDMSO.txt	3638	INSIG1
ACAT2_56	1323.52034728528	4.85420041421439e-91	2.10186877935483e-88	-5.9294093889181	0	1	0	PFOS20vsDMSO.txt	39	ACAT2
DPYS_16757	2344.08895324994	3.43332759195291e-82	1.23885903942967e-79	-7.06141967911099	0	1	0	PFOS20vsDMSO.txt	1807	DPYS
SLC22A1_19293	420.409327315199	5.6064721909434e-69	1.73400175619892e-66	-15.6447195882953	0	1	0	PFOS20vsDMSO.txt	6580	SLC22A1
CFHR1_28694	10953.6473229683	7.04350823050525e-68	1.90614941488048e-65	-3.05791593694949	0	1	0	PFOS20vsDMSO.txt	3078	CFHR1
ADH1A_126	12584.7160992557	7.31551562282852e-65	1.75978792482486e-62	-4.50674728568496	0	1	0	PFOS20vsDMSO.txt	124	ADH1A
CYP51A1_1742	4556.88579543046	9.58992503148017e-64	2.07621876931546e-61	-4.3132107868443	0	1	0	PFOS20vsDMSO.txt	1595	CYP51A1
MSMO1_4315	6427.48364541977	8.28564924994302e-56	1.63076642055697e-53	-5.7538539469088	0	1	0	PFOS20vsDMSO.txt	6307	MSMO1
CYP4F2_17490	1016.41419272699	3.63622392267507e-53	6.56035399382627e-51	-4.87228237070768	0	1	0	PFOS20vsDMSO.txt	8529	CYP4F2
IDI1_12170	5306.20918690952	1.52352068260167e-51	2.53724790602509e-49	-6.22664662919392	0	1	0	PFOS20vsDMSO.txt	3422	IDI1
HMGCR_3029	619.976503489211	8.94838766282924e-50	1.38380423500181e-47	-4.82683223349799	0	1	0	PFOS20vsDMSO.txt	3156	HMGCR
C1R_871	3898.59114668736	2.43014828720265e-49	3.50751402786249e-47	-4.01971686911444	0	1	0	PFOS20vsDMSO.txt	715	C1R
ALB_217	86275.444640849	4.24539163555838e-49	5.74454555686494e-47	-3.3894516130632	0	1	0	PFOS20vsDMSO.txt	213	ALB
CYP2E1_1722	3132.97496122463	1.49085953209277e-47	1.89865346292991e-45	-22.7914853666031	0	1	0	PFOS20vsDMSO.txt	1571	CYP2E1
RPL28_12205	4430.81983864194	2.50898554912385e-46	3.01775206325174e-44	1.88729301118153	1	0	0	PFOS20vsDMSO.txt	6158	RPL28
CYP7A1_1745	334.297558815508	1.7024743004559e-45	1.93992466341422e-43	-168.366610582691	0	1	0	PFOS20vsDMSO.txt	1581	CYP7A1
ADH1B_20117	34524.1433736966	6.32069825578865e-45	6.84215586189121e-43	-3.85172071729194	0	1	0	PFOS20vsDMSO.txt	125	ADH1B
PLIN2_21957	13456.3091144444	2.12193716836794e-43	2.18761617596028e-41	3.9297342124551	1	0	0	PFOS20vsDMSO.txt	123	PLIN2
FASN_11197	3252.26334002661	3.59538019761126e-42	3.53818096719472e-40	-5.3613908430056	0	1	0	PFOS20vsDMSO.txt	2194	FASN
GCLM_25908	736.694370643034	2.85370048616318e-40	2.68620067501882e-38	4.44679434868787	1	0	0	PFOS20vsDMSO.txt	2730	GCLM
C1S_20607	13205.7277516666	1.08376623265201e-39	9.77647455704834e-38	-3.09884458647787	0	1	0	PFOS20vsDMSO.txt	716	C1S
ADH1A_26384	35672.5152009919	1.28943098950037e-39	1.11664723690732e-37	-3.82425917466228	0	1	0	PFOS20vsDMSO.txt	124	ADH1A
TNFSF10_17292	141.265812346872	1.22697267279571e-38	1.02169070638566e-36	-14.0044971846308	0	1	0	PFOS20vsDMSO.txt	8743	TNFSF10
ABCA6_22690	229.277025309283	2.1014833618519e-38	1.6850783253368e-36	-6.81979936650607	0	1	0	PFOS20vsDMSO.txt	23460	ABCA6
GDF15_18329	815.248171201437	2.40415494951847e-38	1.85892695203839e-36	10.5620114250516	1	0	0	PFOS20vsDMSO.txt	9518	GDF15
EIF4EBP1_2107	941.952159914177	3.19007029815096e-38	2.3815524812058e-36	2.50725009712531	1	0	0	PFOS20vsDMSO.txt	1978	EIF4EBP1
FMO3_14602	2195.61051759359	2.04033852343233e-36	1.472444301077e-34	-3.80661884641098	0	1	0	PFOS20vsDMSO.txt	2328	FMO3
GCLM_2615	640.952388186254	6.62248375099127e-36	4.62505720028907e-34	4.49447234063279	1	0	0	PFOS20vsDMSO.txt	2730	GCLM
SLC2A2_6439	2034.22170225957	3.25083013159269e-35	2.19938976090568e-33	-4.13644748223596	0	1	0	PFOS20vsDMSO.txt	6514	SLC2A2
CYP3A5_27090	17260.1096199286	3.0004411726149e-34	1.96847125415493e-32	5.59140382433585	1	0	0	PFOS20vsDMSO.txt	1577	CYP3A5
GGH_2639	991.593794276169	8.12683747644885e-34	5.17488327544464e-32	-3.22332575229011	0	1	0	PFOS20vsDMSO.txt	8836	GGH
A2M_12371	3765.42042230265	1.48409297750078e-33	9.18017513225481e-32	-3.82310521912504	0	1	0	PFOS20vsDMSO.txt	2	A2M
TXNRD1_7440	513.879937108539	2.36717541315401e-33	1.42359299152179e-31	6.18518008708715	1	0	0	PFOS20vsDMSO.txt	7296	TXNRD1
CCL15_25622	661.675840609848	5.78480212057208e-33	3.38489097055096e-31	3.34817870589472	1	0	0	PFOS20vsDMSO.txt	6359	CCL15
NR1I3_16711	237.455344200001	1.30544267637494e-32	7.43758787987302e-31	-8.03741866166974	0	1	0	PFOS20vsDMSO.txt	9970	NR1I3
ABCA6_28368	497.029887420132	1.41537365548385e-31	7.85713836954495e-30	-4.83169917041819	0	1	0	PFOS20vsDMSO.txt	23460	ABCA6
FMO5_11213	322.033509084283	2.37120759609698e-31	1.28341611138749e-29	-6.20703530919321	0	1	0	PFOS20vsDMSO.txt	2330	FMO5
EBP_2015	2234.46180372355	8.54069679080763e-31	4.50990452490208e-29	-3.25487049090118	0	1	0	PFOS20vsDMSO.txt	10682	EBP
RPL35_21373	2480.5755396004	8.9854051714436e-31	4.63176242766081e-29	1.90356417051854	1	0	0	PFOS20vsDMSO.txt	11224	RPL35
