probeName	baseMean	pvalue	padj	FC	signFCPosPadjFilter	signFCNegPadjFilter	MedianFilterOut	myfileName	entrezID	geneSymbol
EBP_2015	2200.30419729211	1.15811913830994e-14	1.85744492567402e-13	-2.8476950336077	0	1	0	PFOA50vsDMSO.txt	10682	EBP
RPL3_5932	8860.44956029704	1.36895137970404e-14	2.17882719594117e-13	1.60062861866427	1	0	0	PFOA50vsDMSO.txt	6122	RPL3
RPL9_5956	2551.17177129156	1.63221234477764e-14	2.5781535900465e-13	1.81972132470931	1	0	0	PFOA50vsDMSO.txt	6133	RPL9
ATP1A1_12191	1451.03157676654	1.70839036453099e-14	2.67819090980986e-13	-1.80422352192324	0	1	0	PFOA50vsDMSO.txt	476	ATP1A1
RPL29_12206	2366.30432457129	1.75688177306009e-14	2.73365559464946e-13	1.82228136632884	1	0	0	PFOA50vsDMSO.txt	6159	RPL29
RFX5_5817	215.961562928343	1.97906809636463e-14	3.0565607266076e-13	-2.7963434711894	0	1	0	PFOA50vsDMSO.txt	5993	RFX5
PTGFR_5569	207.998346354244	2.43038727582709e-14	3.72599813977903e-13	-3.48640035312519	0	1	0	PFOA50vsDMSO.txt	5737	PTGFR
TMEM97_7217	1690.22835973416	2.47363222735495e-14	3.76461547009859e-13	-2.81551924516049	0	1	0	PFOA50vsDMSO.txt	27346	TMEM97
RPS3_25124	1192.87670481046	3.03658616179268e-14	4.58788561401285e-13	1.92638145686536	1	0	0	PFOA50vsDMSO.txt	6188	RPS3
PRELID3B_6554	818.281393524167	3.51775217742864e-14	5.27662826614296e-13	1.69755978679901	1	0	0	PFOA50vsDMSO.txt	51012	PRELID3B
CYP4A11_15140	3328.35054789589	3.85960159024221e-14	5.74804951118214e-13	-1.99522386710354	0	1	0	PFOA50vsDMSO.txt	1579	CYP4A11
FGF2_2405	126.500937350393	4.13160862307806e-14	6.10950636816862e-13	4.00304379141059	1	0	0	PFOA50vsDMSO.txt	2247	FGF2
SESN2_18106	143.572479307676	4.16375020047604e-14	6.11367547041728e-13	3.20483023205311	1	0	0	PFOA50vsDMSO.txt	83667	SESN2
RPS13_5977	1309.31504876639	4.62680109680192e-14	6.74607013065176e-13	1.77533430868705	1	0	0	PFOA50vsDMSO.txt	6207	RPS13
CAT_999	9579.98196020977	5.09520906179985e-14	7.37743812073104e-13	-1.82692613021461	0	1	0	PFOA50vsDMSO.txt	847	CAT
ERO1A_2227	779.045537382591	7.09549214119895e-14	1.02028283547585e-12	-1.81912812658431	0	1	0	PFOA50vsDMSO.txt	30001	ERO1A
CCNH_1083	280.555835477829	9.97949854978826e-14	1.42515441618551e-12	2.0657973948502	1	0	0	PFOA50vsDMSO.txt	902	CCNH
WDR43_7707	600.259361714745	1.05941933100578e-13	1.50264578581432e-12	2.41397660815119	1	0	0	PFOA50vsDMSO.txt	23160	WDR43
MBNL1_4056	1164.90449212892	1.1302310515947e-13	1.5922511774155e-12	-1.59769298555332	0	1	0	PFOA50vsDMSO.txt	4154	MBNL1
SHB_27848	888.014710006238	1.44080359112048e-13	2.01615804529275e-12	-2.09448838595328	0	1	0	PFOA50vsDMSO.txt	6461	SHB
RPL32_27803	1430.8346909283	1.83734966686704e-13	2.55391603694519e-12	1.80929655585541	1	0	0	PFOA50vsDMSO.txt	6161	RPL32
CCT6A_22369	2193.22032534019	1.87438472527901e-13	2.58814049815015e-12	1.84856031250447	1	0	0	PFOA50vsDMSO.txt	908	CCT6A
MSMO1_4315	6683.14848855927	1.95736802352963e-13	2.68494232174953e-12	-2.57162481906061	0	1	0	PFOA50vsDMSO.txt	6307	MSMO1
APOA1_26063	37022.8059952009	2.05471316693006e-13	2.80005029611057e-12	-2.49479133331141	0	1	0	PFOA50vsDMSO.txt	335	APOA1
SOX4_6686	74.8797400579987	2.57136947841879e-13	3.48136711850855e-12	-8.99002885058247	0	1	0	PFOA50vsDMSO.txt	6659	SOX4
CCT5_23696	1627.7254369406	4.0805266533536e-13	5.48896649822081e-12	1.8287575234177	1	0	0	PFOA50vsDMSO.txt	22948	CCT5
CYP4A22_22794	1871.22499032559	4.28404341025846e-13	5.72578878871083e-12	-2.10961849082502	0	1	0	PFOA50vsDMSO.txt	284541	CYP4A22
RPL35_21373	2294.75805247643	4.37807409742837e-13	5.81419394467398e-12	1.67781377892063	1	0	0	PFOA50vsDMSO.txt	11224	RPL35
RPL26_5927	1972.87209123064	4.44511055967405e-13	5.86585792210151e-12	1.7801705456181	1	0	0	PFOA50vsDMSO.txt	6154	RPL26
CYP3A5_27090	9469.60991836395	5.6846500024327e-13	7.45439953149193e-12	-2.76383577631388	0	1	0	PFOA50vsDMSO.txt	1577	CYP3A5
C1RL_28410	153.715176422468	1.0467595435113e-12	1.36405853013817e-11	-3.58082088602202	0	1	0	PFOA50vsDMSO.txt	51279	C1RL
S100A13_27820	135.778391962853	1.20485784947491e-12	1.56032833301564e-11	-3.72729432181388	0	1	0	PFOA50vsDMSO.txt	6284	S100A13
GNAS_2704	3872.04757555844	1.30891226613059e-12	1.68461856474215e-11	-1.51973989180041	0	1	0	PFOA50vsDMSO.txt	2778	GNAS
IDI1_12170	5302.57590050307	1.36670094969333e-12	1.74820336203104e-11	-2.65271956471625	0	1	0	PFOA50vsDMSO.txt	3422	IDI1
TRAM1_7316	1158.12546827333	1.41531234239937e-12	1.79934526457481e-11	-1.93124603285294	0	1	0	PFOA50vsDMSO.txt	23471	TRAM1
SLCO2B1_6541	1005.1482775278	2.26528681299531e-12	2.8624987909668e-11	-2.0377028861274	0	1	0	PFOA50vsDMSO.txt	11309	SLCO2B1
HSPB1_3144	1367.05295589303	2.38273461221189e-12	2.99277208822999e-11	-1.7801547890116	0	1	0	PFOA50vsDMSO.txt	3315	HSPB1
CYP51A1_1742	4447.81519634814	2.50505538990098e-12	3.12756915445721e-11	-2.16245790376773	0	1	0	PFOA50vsDMSO.txt	1595	CYP51A1
MYC_4394	423.221360060793	2.53258256096518e-12	3.14311585691214e-11	3.13137156681321	1	0	0	PFOA50vsDMSO.txt	4609	MYC
GSR_21104	754.425190631328	2.9094027299988e-12	3.58941106038313e-11	1.8119632810551	1	0	0	PFOA50vsDMSO.txt	2936	GSR
EBNA1BP2_2014	715.180038978591	3.46604263647249e-12	4.25099935120302e-11	1.77480260866598	1	0	0	PFOA50vsDMSO.txt	10969	EBNA1BP2
BCL2L11_26886	124.923751688509	4.19398456410916e-12	5.11371802115065e-11	3.56200159303146	1	0	0	PFOA50vsDMSO.txt	10018	BCL2L11
RPS25_5991	2420.46118555844	4.42644978700263e-12	5.36578360808168e-11	1.49972621938669	0	0	0	PFOA50vsDMSO.txt	6230	RPS25
FGFR2_2417	701.971072390724	5.12599188075018e-12	6.17785726668447e-11	-1.91997085187632	0	1	0	PFOA50vsDMSO.txt	2263	FGFR2
TMBIM6_22300	2991.47995352777	7.64635865078093e-12	9.16244700395301e-11	1.99903757340654	1	0	0	PFOA50vsDMSO.txt	7009	TMBIM6
ABCC3_26788	624.843456987949	8.56415015204475e-12	1.02035731811505e-10	2.30688971288547	1	0	0	PFOA50vsDMSO.txt	8714	ABCC3
NET1_27578	233.709235495929	8.72942435636434e-12	1.03413919221703e-10	-2.40817988463052	0	1	0	PFOA50vsDMSO.txt	10276	NET1
ORM1_4833	6264.7822008675	1.1720873186018e-11	1.3806791295394e-10	-1.94341195740104	0	1	0	PFOA50vsDMSO.txt	5004	ORM1
ATF4_500	2302.06745289364	1.21744528532815e-11	1.42605248309505e-10	1.68640801695778	1	0	0	PFOA50vsDMSO.txt	468	ATF4
RPS6_6014	3059.60315972415	1.31007681426491e-11	1.52598332834767e-10	1.75011186181941	1	0	0	PFOA50vsDMSO.txt	6194	RPS6
AGXT2_28617	54.4321256801431	1.64075950281674e-11	1.90054642409606e-10	-12.2512905843454	0	1	0	PFOA50vsDMSO.txt	64902	AGXT2
EPHX1_17800	13904.1372393837	2.03112072360367e-11	2.33971641365395e-10	-2.02946068730319	0	1	0	PFOA50vsDMSO.txt	2052	EPHX1
SENP6_6219	489.68474478025	2.42586535032761e-11	2.77908200847971e-10	1.73520799986869	1	0	0	PFOA50vsDMSO.txt	26054	SENP6
SYNE2_6916	86.6031717769302	2.51832851668575e-11	2.86924314606e-10	-3.59904117705672	0	1	0	PFOA50vsDMSO.txt	23224	SYNE2
C3_886	11553.894010674	3.50355848020555e-11	3.9700649082764e-10	-1.85117105319027	0	1	0	PFOA50vsDMSO.txt	718	C3
H2AFZ_2864	1315.19157974736	3.93469448696296e-11	4.43450702990149e-10	1.67350979363059	1	0	0	PFOA50vsDMSO.txt	3015	H2AFZ
IGF1_25126	87.6384397112177	4.79406261643054e-11	5.37398954583746e-10	-5.16197989630938	0	1	0	PFOA50vsDMSO.txt	3479	IGF1
EIF3E_2094	3489.58457671837	4.93872518642834e-11	5.50654653139203e-10	1.59650927434868	1	0	0	PFOA50vsDMSO.txt	3646	EIF3E
